range_params,upscale,epoch_number,compression,val_top_1
"[1, 0.8, 0.8, 0.8]",0.07,0,0.29401993355481726,0.609082043170929
"[1, 0.8, 0.8, 0.8]",0.17,1,0.53789955810728,0.6005859375
"[1, 0.8, 0.8, 0.8]",0.27,2,0.636615811373093,0.5672851800918579
"[1, 0.8, 0.8, 0.8]",0.37,3,0.6794987581846919,0.580078125
"[1, 0.8, 0.8, 0.8]",0.47,4,0.7115601715962971,0.598437488079071
"[1, 0.8, 0.8, 0.8]",0.57,5,0.7500725736219076,0.5967773199081421
"[1, 0.8, 0.8, 0.8]",0.6699999999999999,6,0.7714414734057995,0.5943359136581421
"[1, 0.8, 0.8, 0.8]",0.7699999999999999,7,0.7802309453923814,0.5889648199081421
"[1, 0.8, 0.8, 0.8]",0.8699999999999999,8,0.7862948746895462,0.595507800579071
"[1, 0.8, 0.8, 0.8]",0.9699999999999999,9,0.7930361577911815,0.5829101800918579
"[1, 0.8, 0.8, 0.8]",1.0699999999999998,10,0.8037447988904299,0.58984375
"[1, 0.8, 0.8, 0.8]",1.17,11,0.8122278489178466,0.578906238079071
"[1, 0.8, 0.8, 0.8]",1.27,12,0.8196303583524175,0.587207019329071
"[1, 0.8, 0.8, 0.8]",1.37,13,0.8276134567622488,0.58740234375
"[1, 0.8, 0.8, 0.8]",1.4700000000000002,14,0.8311453730284166,0.590136706829071
"[1, 0.8, 0.8, 0.8]",1.5700000000000003,15,0.8343224849208141,0.5752929449081421
"[1, 0.8, 0.8, 0.8]",1.6700000000000004,16,0.837870528658517,0.579296886920929
"[1, 0.8, 0.8, 0.8]",1.7700000000000005,17,0.8406928361771442,0.553027331829071
"[1, 0.8, 0.8, 0.8]",1.8700000000000006,18,0.8424184756313905,0.569140613079071
"[1, 0.8, 0.8, 0.8]",1.9700000000000006,19,0.845498822694578,0.541210949420929
"[1, 0.8, 0.8, 0.8]",2.0700000000000007,20,0.845579460052253,0.5752929449081421
"[1, 0.8, 0.8, 0.8]",2.170000000000001,21,0.8478534335386898,0.567089855670929
"[1, 0.8, 0.8, 0.8]",2.270000000000001,22,0.8497726026513563,0.5591796636581421
"[1, 0.8, 0.8, 0.8]",2.370000000000001,23,0.8498854949521014,0.5614258050918579
"[1, 0.8, 0.8, 0.8]",2.470000000000001,24,0.8519820662516531,0.5663086175918579
"[1, 0.8, 0.8, 0.8]",2.570000000000001,25,0.8520143211947231,0.565234363079071
"[1, 0.8, 0.8, 0.8]",2.6700000000000013,26,0.8522078508531432,0.554882824420929
"[1, 0.8, 0.8, 0.8]",2.7700000000000014,27,0.8529980969583588,0.55908203125
"[1, 0.8, 0.8, 0.8]",2.8700000000000014,28,0.853143244202174,0.5665038824081421
"[1, 0.8, 0.8, 0.8]",2.9700000000000015,29,0.8535786859336193,0.5665038824081421
"[1, 0.8, 0.8, 0.8]",3.0700000000000016,30,0.8552559429732607,0.522265613079071
"[1, 0.8, 0.8, 0.8]",3.1700000000000017,31,0.8558526594200562,0.541015625
"[1, 0.8, 0.8, 0.8]",3.270000000000002,32,0.856981582427507,0.5401366949081421
"[1, 0.8, 0.8, 0.8]",3.370000000000002,33,0.8574008966874174,0.5556640625
"[1, 0.8, 0.8, 0.8]",3.470000000000002,34,0.8599974196045544,0.544628918170929
"[1, 0.8, 0.8, 0.8]",3.570000000000002,35,0.8628035996516467,0.545605480670929
"[1, 0.8, 0.8, 0.8]",3.670000000000002,36,0.8644324742766829,0.5615234375
"[1, 0.8, 0.8, 0.8]",3.7700000000000022,37,0.8654646324549237,0.561328113079071
"[1, 0.8, 0.8, 0.8]",3.8700000000000023,38,0.8678837531851756,0.5619140863418579
"[1, 0.8, 0.8, 0.8]",3.9700000000000024,39,0.8684482146889011,0.5586913824081421
"[1, 0.8, 0.8, 0.8]",4.070000000000002,40,0.8707221881753379,0.5537109375
"[1, 0.8, 0.8, 0.8]",4.170000000000002,41,0.8723833177434441,0.5516601800918579
"[1, 0.8, 0.8, 0.8]",4.270000000000001,42,0.874673418701416,0.552539050579071
"[1, 0.8, 0.8, 0.8]",4.370000000000001,43,0.8760603812534271,0.543749988079071
"[1, 0.8, 0.8, 0.8]",4.470000000000001,44,0.8761248911395672,0.5616210699081421
"[1, 0.8, 0.8, 0.8]",4.57,45,0.8794148953327098,0.5484374761581421
"[1, 0.8, 0.8, 0.8]",4.67,46,0.882253330322872,0.555859386920929
"[1, 0.8, 0.8, 0.8]",4.77,47,0.8823500951520821,0.560351550579071
"[1, 0.8, 0.8, 0.8]",4.869999999999999,48,0.8839950972486533,0.5567382574081421
"[1, 0.8, 0.8, 0.8]",4.969999999999999,49,0.8883011321485017,0.539257824420929
"[1, 0.8, 0.8, 0.8]",5.0699999999999985,50,0.8892203980259975,0.5322265625
"[1, 0.8, 0.8, 0.8]",5.169999999999998,51,0.8892526529690675,0.5487304925918579
"[1, 0.8, 0.8, 0.8]",5.269999999999998,52,0.8893494177982776,0.547070324420929
"[1, 0.8, 0.8, 0.8]",5.369999999999997,53,0.8960100635422379,0.5482422113418579
"[1, 0.8, 0.8, 0.8]",5.469999999999997,54,0.8970744766635487,0.5556640625
"[1, 0.8, 0.8, 0.8]",5.569999999999997,55,0.8970906041350837,0.556445300579071
"[1, 0.8, 0.8, 0.8]",5.669999999999996,56,0.8970906041350837,0.555468738079071
"[1, 0.8, 0.8, 0.8]",5.769999999999996,57,0.8983485469148147,0.5526367425918579
"[1, 0.8, 0.8, 0.8]",5.869999999999996,58,0.9023159049124279,0.538378894329071
"[1, 0.8, 0.8, 0.8]",5.969999999999995,59,0.9023320323839629,0.55126953125
"[1, 0.8, 0.8, 0.8]",6.069999999999995,60,0.9023320323839629,0.550976574420929
"[1, 0.8, 0.8, 0.8]",6.169999999999995,61,0.9030577686030384,0.547656238079071
"[1, 0.8, 0.8, 0.8]",6.269999999999994,62,0.9030577686030384,0.550000011920929
"[1, 0.8, 0.8, 0.8]",6.369999999999994,63,0.9030577686030384,0.55224609375
"[1, 0.8, 0.8, 0.8]",6.4699999999999935,64,0.9046705157565397,0.5414062738418579
"[1, 0.8, 0.8, 0.8]",6.569999999999993,65,0.9060252233654807,0.554003894329071
"[1, 0.8, 0.8, 0.8]",6.669999999999993,66,0.9060252233654807,0.5484374761581421
"[1, 0.8, 0.8, 0.8]",6.7699999999999925,67,0.9067993419991613,0.5396484136581421
"[1, 0.8, 0.8, 0.8]",6.869999999999992,68,0.9067993419991613,0.5458008050918579
"[1, 0.8, 0.8, 0.8]",6.969999999999992,69,0.9067993419991613,0.546582043170929
"[1, 0.8, 0.8, 0.8]",7.069999999999991,70,0.9086701286972229,0.540234386920929
"[1, 0.8, 0.8, 0.8]",7.169999999999991,71,0.91129890655743,0.5372070074081421
"[1, 0.8, 0.8, 0.8]",7.269999999999991,72,0.91129890655743,0.541015625
"[1, 0.8, 0.8, 0.8]",7.36999999999999,73,0.9115730735735251,0.529980480670929
"[1, 0.8, 0.8, 0.8]",7.46999999999999,74,0.9115730735735251,0.5335937738418579
"[1, 0.8, 0.8, 0.8]",7.56999999999999,75,0.9115730735735251,0.532421886920929
"[1, 0.8, 0.8, 0.8]",7.669999999999989,76,0.9127181240525111,0.5254882574081421
"[1, 0.8, 0.8, 0.8]",7.769999999999989,77,0.9127342515240461,0.535937488079071
"[1, 0.8, 0.8, 0.8]",7.869999999999989,78,0.9129922910686062,0.5323241949081421
"[1, 0.8, 0.8, 0.8]",7.969999999999988,79,0.9130245460116763,0.5430663824081421
"[1, 0.8, 0.8, 0.8]",8.069999999999988,80,0.915217882140438,0.4544921815395355
"[1, 0.8, 0.8, 0.8]",8.169999999999987,81,0.915234009611973,0.48066407442092896
"[1, 0.8, 0.8, 0.8]",8.269999999999987,82,0.915234009611973,0.48515623807907104
"[1, 0.8, 0.8, 0.8]",8.369999999999987,83,0.9160887656033287,0.42919921875
"[1, 0.8, 0.8, 0.8]",8.469999999999986,84,0.9161210205463988,0.45068359375
"[1, 0.8, 0.8, 0.8]",8.569999999999986,85,0.9161210205463988,0.45458984375
"[1, 0.8, 0.8, 0.8]",8.669999999999986,86,0.9161210205463988,0.46552735567092896
"[1, 0.8, 0.8, 0.8]",8.769999999999985,87,0.9161210205463988,0.46894532442092896
"[1, 0.8, 0.8, 0.8]",8.869999999999985,88,0.9161210205463988,0.4779296815395355
"[1, 0.8, 0.8, 0.8]",8.969999999999985,89,0.9161210205463988,0.47382813692092896
"[1, 0.8, 0.8, 0.8]",9.069999999999984,90,0.9163145502048189,0.4716796875
"[1, 0.8, 0.8, 0.8]",9.169999999999984,91,0.918959455536561,0.43046873807907104
"[1, 0.8, 0.8, 0.8]",9.269999999999984,92,0.918959455536561,0.45244139432907104
"[1, 0.8, 0.8, 0.8]",9.369999999999983,93,0.918959455536561,0.4453125
"[1, 0.8, 0.8, 0.8]",9.469999999999983,94,0.918959455536561,0.4356445372104645
"[1, 0.8, 0.8, 0.8]",9.569999999999983,95,0.918959455536561,0.44580078125
"[1, 0.8, 0.8, 0.8]",9.669999999999982,96,0.918959455536561,0.4603515565395355
"[1, 0.8, 0.8, 0.8]",9.769999999999982,97,0.918959455536561,0.4541015625
"[1, 0.8, 0.8, 0.8]",9.869999999999981,98,0.918959455536561,0.45966798067092896
"[1, 0.8, 0.8, 0.8]",9.969999999999981,99,0.918959455536561,0.4644531309604645
"[1, 0.8, 0.8, 0.8]",10.06999999999998,100,0.918959455536561,0.4637695252895355
"[1, 0.8, 0.8, 0.8]",10.16999999999998,101,0.9199754862432667,0.47089844942092896
"[1, 0.8, 0.8, 0.8]",10.26999999999998,102,0.9199754862432667,0.47187501192092896
"[1, 0.8, 0.8, 0.8]",10.36999999999998,103,0.9199754862432667,0.47929686307907104
"[1, 0.8, 0.8, 0.8]",10.46999999999998,104,0.920169015901687,0.48583984375
"[1, 0.8, 0.8, 0.8]",10.569999999999979,105,0.920169015901687,0.4805664122104645
"[1, 0.8, 0.8, 0.8]",10.669999999999979,106,0.9204593103893172,0.47119140625
"[1, 0.8, 0.8, 0.8]",10.769999999999978,107,0.9204593103893172,0.46630859375
"[1, 0.8, 0.8, 0.8]",10.869999999999978,108,0.9204593103893172,0.47919923067092896
"[1, 0.8, 0.8, 0.8]",10.969999999999978,109,0.9204593103893172,0.4742187559604645
"[1, 0.8, 0.8, 0.8]",11.069999999999977,110,0.9204593103893172,0.4833984375
"[1, 0.8, 0.8, 0.8]",11.169999999999977,111,0.9204593103893172,0.4786132872104645
"[1, 0.8, 0.8, 0.8]",11.269999999999976,112,0.9204593103893172,0.48291015625
"[1, 0.8, 0.8, 0.8]",11.369999999999976,113,0.9208141147630874,0.474609375
"[1, 0.8, 0.8, 0.8]",11.469999999999976,114,0.9225236267457988,0.46064454317092896
"[1, 0.8, 0.8, 0.8]",11.569999999999975,115,0.9225236267457988,0.46367186307907104
"[1, 0.8, 0.8, 0.8]",11.669999999999975,116,0.9225236267457988,0.4583984315395355
"[1, 0.8, 0.8, 0.8]",11.769999999999975,117,0.9225236267457988,0.46337890625
"[1, 0.8, 0.8, 0.8]",11.869999999999974,118,0.9225236267457988,0.4765625
"[1, 0.8, 0.8, 0.8]",11.969999999999974,119,0.9225236267457988,0.46650391817092896
"[1, 0.8, 0.8, 0.8]",12.069999999999974,120,0.9225236267457988,0.47021484375
"[1, 0.8, 0.8, 0.8]",12.169999999999973,121,0.9225236267457988,0.4751953184604645
"[1, 0.8, 0.8, 0.8]",12.269999999999973,122,0.9225236267457988,0.46259766817092896
"[1, 0.8, 0.8, 0.8]",12.369999999999973,123,0.9225236267457988,0.46337890625
"[1, 0.8, 0.8, 0.8]",12.469999999999972,124,0.9225236267457988,0.47099608182907104
"[1, 0.8, 0.8, 0.8]",12.569999999999972,125,0.9226849014611489,0.4798828065395355
"[1, 0.8, 0.8, 0.8]",12.669999999999972,126,0.9226849014611489,0.4749999940395355
"[1, 0.8, 0.8, 0.8]",12.769999999999971,127,0.9226849014611489,0.4805664122104645
"[1, 0.8, 0.8, 0.8]",12.86999999999997,128,0.9232493629648744,0.46562498807907104
"[1, 0.8, 0.8, 0.8]",12.96999999999997,129,0.9232493629648744,0.47734373807907104
"[1, 0.8, 0.8, 0.8]",13.06999999999997,130,0.9244911782730704,0.45341795682907104
"[1, 0.8, 0.8, 0.8]",13.16999999999997,131,0.9244911782730704,0.4583984315395355
"[1, 0.8, 0.8, 0.8]",13.26999999999997,132,0.9244911782730704,0.46650391817092896
"[1, 0.8, 0.8, 0.8]",13.369999999999969,133,0.9244911782730704,0.46015626192092896
"[1, 0.8, 0.8, 0.8]",13.469999999999969,134,0.9244911782730704,0.4701171815395355
"[1, 0.8, 0.8, 0.8]",13.569999999999968,135,0.9246201980453504,0.46806639432907104
"[1, 0.8, 0.8, 0.8]",13.669999999999968,136,0.9246201980453504,0.4774414002895355
"[1, 0.8, 0.8, 0.8]",13.769999999999968,137,0.9246201980453504,0.4639648497104645
"[1, 0.8, 0.8, 0.8]",13.869999999999967,138,0.9246201980453504,0.482421875
"[1, 0.8, 0.8, 0.8]",13.969999999999967,139,0.9247653452891655,0.462890625
"[1, 0.8, 0.8, 0.8]",14.069999999999967,140,0.9247653452891655,0.4623046815395355
"[1, 0.8, 0.8, 0.8]",14.169999999999966,141,0.9247653452891655,0.47138673067092896
"[1, 0.8, 0.8, 0.8]",14.269999999999966,142,0.9247653452891655,0.47197264432907104
"[1, 0.8, 0.8, 0.8]",14.369999999999965,143,0.9247653452891655,0.4710937440395355
"[1, 0.8, 0.8, 0.8]",14.469999999999965,144,0.9247653452891655,0.4698242247104645
"[1, 0.8, 0.8, 0.8]",14.569999999999965,145,0.9247653452891655,0.4696289002895355
"[1, 0.8, 0.8, 0.8]",14.669999999999964,146,0.9247653452891655,0.46992188692092896
"[1, 0.8, 0.8, 0.8]",14.769999999999964,147,0.9247653452891655,0.46611326932907104
"[1, 0.8, 0.8, 0.8]",14.869999999999964,148,0.9247653452891655,0.4759765565395355
"[1, 0.8, 0.8, 0.8]",14.969999999999963,149,0.9247653452891655,0.4706054627895355
"[1, 0.8, 0.8, 0.8]",15.069999999999963,150,0.9247653452891655,0.4706054627895355
"[1, 0.8, 0.8, 0.8]",15.169999999999963,151,0.9247653452891655,0.4697265625
"[1, 0.8, 0.8, 0.8]",15.269999999999962,152,0.9264103473857369,0.46875
"[1, 0.8, 0.8, 0.8]",15.369999999999962,153,0.9264103473857369,0.4691406190395355
"[1, 0.8, 0.8, 0.8]",15.469999999999962,154,0.9264103473857369,0.47382813692092896
"[1, 0.8, 0.8, 0.8]",15.569999999999961,155,0.9264103473857369,0.47265625
"[1, 0.8, 0.8, 0.8]",15.66999999999996,156,0.9270554462471374,0.4837890565395355
"[1, 0.8, 0.8, 0.8]",15.76999999999996,157,0.9270554462471374,0.4952148497104645
"[1, 0.8, 0.8, 0.8]",15.86999999999996,158,0.9270554462471374,0.486328125
"[1, 0.8, 0.8, 0.8]",15.96999999999996,159,0.9270554462471374,0.49580079317092896
"[1, 0.8, 0.8, 0.8]",16.06999999999996,160,0.9277005451085378,0.47021484375
"[1, 0.8, 0.8, 0.8]",16.169999999999963,161,0.9277005451085378,0.47431641817092896
"[1, 0.8, 0.8, 0.8]",16.269999999999964,162,0.9277005451085378,0.48076170682907104
"[1, 0.8, 0.8, 0.8]",16.369999999999965,163,0.9277005451085378,0.47587889432907104
"[1, 0.8, 0.8, 0.8]",16.469999999999967,164,0.9277005451085378,0.4771484434604645
"[1, 0.8, 0.8, 0.8]",16.56999999999997,165,0.9277005451085378,0.4781250059604645
"[1, 0.8, 0.8, 0.8]",16.66999999999997,166,0.9277005451085378,0.482421875
"[1, 0.8, 0.8, 0.8]",16.76999999999997,167,0.9277005451085378,0.48310548067092896
"[1, 0.8, 0.8, 0.8]",16.869999999999973,168,0.9277005451085378,0.48603516817092896
"[1, 0.8, 0.8, 0.8]",16.969999999999974,169,0.9277005451085378,0.4786132872104645
"[1, 0.8, 0.8, 0.8]",17.069999999999975,170,0.9277005451085378,0.49169921875
"[1, 0.8, 0.8, 0.8]",17.169999999999977,171,0.9277005451085378,0.4901367127895355
"[1, 0.8, 0.8, 0.8]",17.26999999999998,172,0.9277005451085378,0.4945312440395355
"[1, 0.8, 0.8, 0.8]",17.36999999999998,173,0.9277005451085378,0.48945313692092896
"[1, 0.8, 0.8, 0.8]",17.46999999999998,174,0.9277005451085378,0.49003905057907104
"[1, 0.8, 0.8, 0.8]",17.569999999999983,175,0.9277005451085378,0.4886718690395355
"[1, 0.8, 0.8, 0.8]",17.669999999999984,176,0.9277005451085378,0.49072265625
"[1, 0.8, 0.8, 0.8]",17.769999999999985,177,0.9277005451085378,0.4896484315395355
"[1, 0.8, 0.8, 0.8]",17.869999999999987,178,0.9279263297100281,0.48066407442092896
"[1, 0.8, 0.8, 0.8]",17.969999999999988,179,0.9279263297100281,0.4833984375
